성별,연령대,직업,이용빈도,이용목적,만족,불편,구매 포기 이유 ,선호 매장 종류,앱 사용 여부,앱 사용 목적,앱에서 가장 많이 사용하는 기능,앱 불편한점,CU앱 신뢰도,앱을 확인한 후 실제 매장을 방문한 경험,쿠폰의 개인 취향 부합 정도,쿠폰 미사용 이유,희망 쿠폰 종류,쿠폰의 매장 방문 결정 영향,서비스 도입 후 편의점 편의성,재방문 주요 이유,서비스 도입 후 CU 선택 영향,1회 평균 지출 금액,계획에 없던 상품을 추가로 구매할 의향,지인에게 추천할 의향
남자,30대,직장인,주 1-2회,다양한 상품 구매,매장 접근성,"프로모션 정보가 부족하거나 놓치기 쉬움, 점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",가격 또는 혜택이 부족해서,상관없음,사용하지 않음,,,,,,,쿠폰의 존재를 잊어서,과자/간식,3,4,위치 접근성,4,"5,000원 미만",4,4
남자,20대,학생,월 1-2회,"다양한 상품 구매, 할인 및 프로모션 이용","할인, 번들 등 프로모션 혜택, 맛있는게 많음",불편함 없음,원하는 상품이 없어서,상관없음,사용하지 않음,"상품 검색, 재고 조회, 예약 구매 등","행사 상품 정보 (1+1, 2+1 등)",편의점 앱을 굳이굳이 다운받아서 해야하는 점이 아쉬움. 다른 대안이 떠오르진 않지만 접근성이 낮은 느낌이다,5,가끔 있다(1-3회),3,쿠폰의 존재를 잊어서,도시락/간편식,4,5,위치 접근성,5,"5,000원 미만",5,5
남자,20대,학생,주 3-5회,"다양한 상품 구매, 할인 및 프로모션 이용, 단독/PB상품 구매","할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성",불편함 없음,가격 또는 혜택이 부족해서,무인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등, 행사, 이벤트, 쿠폰 확인","행사 상품 정보 (1+1, 2+1 등)",쿠폰 사용 과정이 번거로움,3,전혀 없다,,필요 없는 상품이라서,과자/간식,3,3,가격 경쟁력,3,"5,000원 미만",3,3
남자,20대,학생,주 3-5회,"다양한 상품 구매, 할인 및 프로모션 이용","할인, 번들 등 프로모션 혜택, 매장 접근성",불편함 없음,원하는 상품이 없어서,무인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등, 행사, 이벤트, 쿠폰 확인","행사 상품 정보 (1+1, 2+1 등)",UI/디자인이 직관적이지 않음,4,가끔 있다(1-3회),4,쿠폰의 존재를 잊어서,과자/간식,5,3,위치 접근성,4,"5,000원 미만",4,4
여자,20대,학생,주 3-5회,다양한 상품 구매,특별히 없음,원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,유인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등",특정 상품 재고 조회,UI/디자인이 직관적이지 않음,5,가끔 있다(1-3회),3,쿠폰의 존재를 잊어서,과자/간식,3,3,위치 접근성,4,"5,000~10,000원 미만",3,3
남자,20대,학생,주 6회 이상,다양한 상품 구매,"상품 다양성 (PB, 브랜드, 콜라보 상품 등)",원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,상관없음,사용중,"멤버십 적립 및 결제, 행사, 이벤트, 쿠폰 확인","행사 상품 정보 (1+1, 2+1 등)","앱 속도(실행/로딩)가 느림, UI/디자인이 직관적이지 않음, 쿠폰 사용 과정이 번거로움",3,전혀 없다,2,"사용방법이 번거로워서, 쿠폰의 존재를 잊어서",도시락/간편식,3,3,위치 접근성,3,"5,000~10,000원 미만",4,3
남자,20대,학생,주 3-5회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성",불편함 없음,해당 없음,상관없음,사용하지 않음,,,,,,,,음료,3,4,위치 접근성,4,"5,000~10,000원 미만",4,4
여자,20대,학생,주 6회 이상,다양한 상품 구매,"할인, 번들 등 프로모션 혜택, 매장 접근성",불편함 없음,원하는 상품이 없어서,상관없음,사용하지 않음,,,,,,,,과자/간식,5,4,위치 접근성,5,"5,000~10,000원 미만",5,4
남자,20대,학생,주 3-5회,단독/PB상품 구매,"상품 다양성 (PB, 브랜드, 콜라보 상품 등)","점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",원하는 상품이 없어서,유인 매장,사용하지 않음,,,,,전혀 없다,,,음료,4,4,상품 다양성,5,"5,000~10,000원 미만",5,4
남자,20대,학생,주 1-2회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택",불편함 없음,원하는 상품이 없어서,유인 매장,사용하지 않음,,,,,,,,도시락/간편식,4,4,프로모션/행사,3,"5,000원 미만",4,3
남자,20대,학생,주 1-2회,다양한 상품 구매,매장 접근성,프로모션 정보가 부족하거나 놓치기 쉬움,가격 또는 혜택이 부족해서,유인 매장,사용하지 않음,,,,,,,,과자/간식,4,4,위치 접근성,5,"5,000~10,000원 미만",4,4
남자,20대,학생,주 3-5회,저녁식사 대용,특별히 없음,"점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",가격 또는 혜택이 부족해서,유인 매장,사용중,"행사, 이벤트, 쿠폰 확인",쿠폰 다운로드 및 이벤트 참여,UI/디자인이 직관적이지 않음,3,종종 있다 (3-5회),4,매장 방문 시기가 맞지 않아서,도시락/간편식,5,5,위치 접근성,5,"5,000~10,000원 미만",3,3
여자,20대,학생,월 1-2회,다양한 상품 구매,특별히 없음,"점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움, 원하는 상품이 없거나 품절 상태임",원하는 상품이 없어서,무인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등",특정 상품 재고 조회,"재고 정보 등 앱 정보의 정확도가 낮음, 쿠폰 사용 과정이 번거로움",3,가끔 있다(1-3회),3,할인 혜택이 불충분해서,과자/간식,4,4,위치 접근성,4,"5,000원 미만",2,3
남자,20대,학생,주 1-2회,다양한 상품 구매,"매장 접근성, 특별히 없음",불편함 없음,원하는 상품이 없어서,유인 매장,사용하지 않음,,,,,,,,생필품,4,4,가격 경쟁력,3,"5,000~10,000원 미만",4,4
남자,20대,직장인,이용하지 않음,다양한 상품 구매,"할인, 번들 등 프로모션 혜택",원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,무인 매장,사용하지 않음,,,,,,,,음료,5,5,프로모션/행사,5,"5,000원 미만",4,4
남자,20대,학생,주 1-2회,다양한 상품 구매,매장 접근성,불편함 없음,해당 없음,상관없음,사용하지 않음,,,,,,,,주류,3,3,위치 접근성,4,"5,000원 미만",2,3
남자,20대,학생,주 6회 이상,다양한 상품 구매,"할인, 번들 등 프로모션 혜택",불편함 없음,앱 재고 정보와 실제 매장이 달라서,유인 매장,사용하지 않음,"행사, 이벤트, 쿠폰 확인","행사 상품 정보 (1+1, 2+1 등)",불편함 없음,5,전혀 없다,3,쿠폰의 존재를 잊어서,도시락/간편식,4,4,상품 다양성,3,"10,000~30,000원 미만",3,3
남자,30대,프리랜서,주 3-5회,담배커피,매장 접근성,불편함 없음,해당 없음,상관없음,사용하지 않음,,,,,,,,생필품,5,4,위치 접근성,3,"10,000~30,000원 미만",4,3
남자,20대,학생,월 1-2회,다양한 상품 구매,특별히 없음,직원 응대(불친절 또는 미숙함),원하는 상품이 없어서,상관없음,사용하지 않음,,,,,,,,과자/간식,2,2,위치 접근성,2,"5,000~10,000원 미만",4,2
여자,20대,학생,월 1-2회,급할 때 필요한 물건 구매시 이용,"매장 접근성, 킵 해두는 기능","프로모션 정보가 부족하거나 놓치기 쉬움, 점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",원하는 상품이 없어서,상관없음,사용중,"상품 검색, 재고 조회, 예약 구매 등, 멤버십 적립 및 결제",특정 상품 재고 조회,"앱 속도(실행/로딩)가 느림, 쿠폰 사용 과정이 번거로움",2,종종 있다 (3-5회),3,"유효기간이 짧아서, 사용방법이 번거로워서, 쿠폰의 존재를 잊어서",도시락/간편식,4,4,위치 접근성,5,"5,000원 미만",5,4
남자,20대,학생,주 1-2회,다양한 상품 구매,특별히 없음,불편함 없음,원하는 상품이 없어서,상관없음,사용하지 않음,,,,,,,,음료,3,3,위치 접근성,3,"5,000원 미만",3,2
남자,20대,학생,주 1-2회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택","프로모션 정보가 부족하거나 놓치기 쉬움, 점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",원하는 상품이 없어서,유인 매장,사용하지 않음,,,,,,,,도시락/간편식,4,4,위치 접근성,4,"5,000원 미만",4,4
남자,20대,학생,주 1-2회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택, 매장 접근성",불편함 없음,원하는 상품이 없어서,상관없음,사용하지 않음,"멤버십 적립 및 결제, 행사, 이벤트, 쿠폰 확인","행사 상품 정보 (1+1, 2+1 등)",불편함 없음,4,가끔 있다(1-3회),4,"필요 없는 상품이라서, 쿠폰의 존재를 잊어서",과자/간식,3,4,위치 접근성,4,"5,000원 미만",4,4
여자,20대,학생,주 3-5회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택",프로모션 정보가 부족하거나 놓치기 쉬움,해당 없음,상관없음,사용하지 않음,,,,,,,"사용방법이 번거로워서, 쿠폰의 존재를 잊어서",과자/간식,3,4,위치 접근성,4,"5,000~10,000원 미만",3,4
남자,20대,직장인,주 3-5회,다양한 상품 구매,매장 접근성,불편함 없음,해당 없음,유인 매장,사용하지 않음,,"행사 상품 정보 (1+1, 2+1 등)",불편함 없음,3,가끔 있다(1-3회),3,할인 혜택이 불충분해서,도시락/간편식,4,4,가격 경쟁력,4,"5,000~10,000원 미만",3,3
남자,20대,학생,주 3-5회,다양한 상품 구매,매장 접근성,불편함 없음,원하는 상품이 없어서,상관없음,사용중,"상품 검색, 재고 조회, 예약 구매 등, 멤버십 적립 및 결제, 행사, 이벤트, 쿠폰 확인",특정 상품 재고 조회,쿠폰 사용 과정이 번거로움,3,자주 있다 (5회 이상),2,"할인 혜택이 불충분해서, 유효기간이 짧아서, 쿠폰의 존재를 잊어서",도시락/간편식,4,5,프로모션/행사,4,"5,000~10,000원 미만",5,5
여자,20대,학생,주 1-2회,"다양한 상품 구매, 할인 및 프로모션 이용",매장 접근성,원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,상관없음,사용하지 않음,,,,,,,,음료,4,3,위치 접근성,3,"5,000~10,000원 미만",4,3
남자,50대 이상,무직,월 1-2회,다양한 상품 구매,매장 접근성,원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,유인 매장,사용하지 않음,,,,,,,매장 방문 시기가 맞지 않아서,도시락/간편식,3,3,위치 접근성,4,"5,000~10,000원 미만",3,3
남자,20대,직장인,주 1-2회,다양한 상품 구매,특별히 없음,불편함 없음,원하는 상품이 없어서,유인 매장,사용하지 않음,,,,,,,,과자/간식,4,3,위치 접근성,3,"5,000~10,000원 미만",4,3
여자,20대,학생,주 1-2회,다양한 상품 구매,"상품 다양성 (PB, 브랜드, 콜라보 상품 등)","점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",원하는 상품이 없어서,상관없음,사용하지 않음,,,,,,,,도시락/간편식,5,5,상품 다양성,5,"5,000~10,000원 미만",4,4
여자,50대 이상,무직,주 1-2회,할인 및 프로모션 이용,"할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성","프로모션 정보가 부족하거나 놓치기 쉬움, 점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",원하는 상품이 없어서,유인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등, 멤버십 적립 및 결제, 행사, 이벤트, 쿠폰 확인",쿠폰 다운로드 및 이벤트 참여,"앱 속도(실행/로딩)가 느림, 쿠폰 사용 과정이 번거로움",3,가끔 있다(1-3회),2,"할인 혜택이 불충분해서, 유효기간이 짧아서",과자/간식,3,2,프로모션/행사,3,"10,000~30,000원 미만",4,4
여자,20대,학생,주 3-5회,할인 및 프로모션 이용,매장 접근성,프로모션 정보가 부족하거나 놓치기 쉬움,원하는 상품이 없어서,유인 매장,사용하지 않음,,,,,,,,과자/간식,4,4,위치 접근성,4,"5,000~10,000원 미만",4,3
남자,20대,직장인,주 1-2회,다양한 상품 구매,"상품 다양성 (PB, 브랜드, 콜라보 상품 등)",불편함 없음,원하는 상품이 없어서,상관없음,사용중,"행사, 이벤트, 쿠폰 확인",쿠폰 다운로드 및 이벤트 참여,"UI/디자인이 직관적이지 않음, 쿠폰 사용 과정이 번거로움",3,가끔 있다(1-3회),3,"쿠폰의 존재를 잊어서, 매장 방문 시기가 맞지 않아서",주류,5,5,위치 접근성,5,"5,000~10,000원 미만",5,4
남자,20대,직장인,주 1-2회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택",불편함 없음,원하는 상품이 없어서,유인 매장,사용하지 않음,,,불편함 없음,3,전혀 없다,3,사용방법이 번거로워서,과자/간식,1,4,위치 접근성,4,"5,000~10,000원 미만",3,3
남자,20대,학생,주 3-5회,"다양한 상품 구매, 할인 및 프로모션 이용, 단독/PB상품 구매","할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성","프로모션 정보가 부족하거나 놓치기 쉬움, 점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움, 원하는 상품이 없거나 품절 상태임",원하는 상품이 없어서,유인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등, 멤버십 적립 및 결제, 행사, 이벤트, 쿠폰 확인",쿠폰 다운로드 및 이벤트 참여,,4,가끔 있다(1-3회),3,"필요 없는 상품이라서, 쿠폰의 존재를 잊어서",도시락/간편식,4,4,프로모션/행사,4,"5,000~10,000원 미만",4,4
여자,30대,무직,주 1-2회,"다양한 상품 구매, 할인 및 프로모션 이용","할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등)",원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,상관없음,사용중,"멤버십 적립 및 결제, 행사, 이벤트, 쿠폰 확인",쿠폰 다운로드 및 이벤트 참여,UI/디자인이 직관적이지 않음,4,전혀 없다,2,"필요 없는 상품이라서, 할인 혜택이 불충분해서",도시락/간편식,4,5,가격 경쟁력,5,"5,000원 미만",4,4
남자,20대,학생,주 6회 이상,다양한 상품 구매,특별히 없음,불편함 없음,해당 없음,상관없음,사용하지 않음,,,,,,,,음료,4,4,위치 접근성,4,"5,000원 미만",4,4
여자,30대,직장인,월 1-2회,급하게 필요한게 생겼을 때 접근성,매장 접근성,불편함 없음,원하는 상품이 없어서,유인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등, 멤버십 적립 및 결제",특정 상품 재고 조회,"UI/디자인이 직관적이지 않음, 쿠폰 사용 과정이 번거로움",4,가끔 있다(1-3회),1,"필요 없는 상품이라서, 쿠폰의 존재를 잊어서, 매장 방문 시기가 맞지 않아서",주류,2,4,상품 다양성,5,"5,000~10,000원 미만",3,2
남자,30대,직장인,주 3-5회,다양한 상품 구매,특별히 없음,불편함 없음,원하는 상품이 없어서,유인 매장,사용하지 않음,,,,,,,,주류,5,3,위치 접근성,3,"10,000~30,000원 미만",4,4
여자,30대,직장인,월 1-2회,다양한 상품 구매,"상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성",원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,상관없음,사용하지 않음,"상품 검색, 재고 조회, 예약 구매 등",특정 상품 재고 조회,UI/디자인이 직관적이지 않음,3,가끔 있다(1-3회),2,필요 없는 상품이라서,생필품,2,3,위치 접근성,3,"5,000~10,000원 미만",4,2
여자,50대 이상,전업주부 ,월 1-2회,급하게 살 일이 있을때,매장 접근성,원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,상관없음,사용하지 않음,,,,,,,,생필품,5,5,위치 접근성,5,"5,000원 미만",5,3
여자,20대,학생,주 6회 이상,"다양한 상품 구매, 할인 및 프로모션 이용","상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성","프로모션 정보가 부족하거나 놓치기 쉬움, 점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움, 원하는 상품이 없거나 품절 상태임",원하는 상품이 없어서,유인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등, 멤버십 적립 및 결제, 행사, 이벤트, 쿠폰 확인",맴버십 할인,불편함 없음,4,가끔 있다(1-3회),3,유효기간이 짧아서,도시락/간편식,5,5,위치 접근성,4,"5,000원 미만",4,4
여자,30대,직장인,주 1-2회,"다양한 상품 구매, 할인 및 프로모션 이용","할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등)","프로모션 정보가 부족하거나 놓치기 쉬움, 원하는 상품이 없거나 품절 상태임",원하는 상품이 없어서,상관없음,사용중,"상품 검색, 재고 조회, 예약 구매 등, 행사, 이벤트, 쿠폰 확인",특정 상품 재고 조회,"앱 속도(실행/로딩)가 느림, UI/디자인이 직관적이지 않음",4,종종 있다 (3-5회),2,필요 없는 상품이라서,도시락/간편식,4,4,위치 접근성,3,"5,000원 미만",4,3
남자,30대,직장인,주 3-5회,"다양한 상품 구매, 할인 및 프로모션 이용","할인, 번들 등 프로모션 혜택, 매장 접근성",프로모션 정보가 부족하거나 놓치기 쉬움,해당 없음,유인 매장,사용하지 않음,,,,3,,,,주류,5,5,프로모션/행사,3,"10,000~30,000원 미만",5,5
여자,30대,직장인,주 1-2회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택",프로모션 정보가 부족하거나 놓치기 쉬움,원하는 상품이 없어서,유인 매장,사용중,멤버십 적립 및 결제,"행사 상품 정보 (1+1, 2+1 등)",쿠폰 사용 과정이 번거로움,5,종종 있다 (3-5회),3,필요 없는 상품이라서,음료,4,4,위치 접근성,4,"5,000~10,000원 미만",4,4
여자,30대,직장인,주 3-5회,다양한 상품 구매,"매장 접근성, 특별히 없음","프로모션 정보가 부족하거나 놓치기 쉬움, 점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",원하는 상품이 없어서,유인 매장,사용중,멤버십 적립 및 결제,결제,앱 속도(실행/로딩)가 느림,2,전혀 없다,1,"필요 없는 상품이라서, 사용방법이 번거로워서, 쿠폰의 존재를 잊어서",과자/간식,2,3,위치 접근성,2,"5,000~10,000원 미만",4,4
남자,30대,프리랜서,주 3-5회,"다양한 상품 구매, 할인 및 프로모션 이용",특별히 없음,원하는 상품이 없거나 품절 상태임,원하는 상품이 없어서,무인 매장,사용중,"멤버십 적립 및 결제, 행사, 이벤트, 쿠폰 확인","행사 상품 정보 (1+1, 2+1 등)","재고 정보 등 앱 정보의 정확도가 낮음, 쿠폰 사용 과정이 번거로움",2,가끔 있다(1-3회),2,사용방법이 번거로워서,과자/간식,3,2,상품 다양성,3,"5,000~10,000원 미만",2,2
여자,30대,주부,주 3-5회,일갔다 집에오면서 지나가는 길에 살수있어서,"할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성, ","프로모션 정보가 부족하거나 놓치기 쉬움, 원하는 상품이 없거나 품절 상태임, 직원 응대(불친절 또는 미숙함)",원하는 상품이 없어서,유인 매장,사용하지 않음,편의점앱사용하지 않음 집근처라 편의점앱 사용할 필요성 못느낌,집근처라 편의점앱 사용할 필요성 못느낌,불편함 없음,3,전혀 없다,2,"할인 혜택이 불충분해서, 쿠폰의 존재를 잊어서",음료,2,1,위치 접근성,3,"10,000~30,000원 미만",3,3
남자,50대 이상,무직,월 1-2회,다양한 상품 구매,매장 접근성,"점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",해당 없음,상관없음,사용하지 않음,,,,,,,사용방법이 번거로워서,생필품,1,2,위치 접근성,2,"5,000원 미만",3,3
여자,40대,직장인,주 1-2회,"할인 및 프로모션 이용, 단독/PB상품 구매","상품 다양성 (PB, 브랜드, 콜라보 상품 등)","프로모션 정보가 부족하거나 놓치기 쉬움, 매장 청결 및 상품 진열 등 전반적인 환경이 불편함, 원하는 상품이 없거나 품절 상태임",원하는 상품이 없어서,유인 매장,사용중,"상품 검색, 재고 조회, 예약 구매 등, 멤버십 적립 및 결제",특정 상품 재고 조회,"UI/디자인이 직관적이지 않음, 재고 정보 등 앱 정보의 정확도가 낮음",2,자주 있다 (5회 이상),1,"필요 없는 상품이라서, 유효기간이 짧아서, 쿠폰의 존재를 잊어서",과자/간식,3,4,프로모션/행사,4,"10,000~30,000원 미만",4,3
남자,30대,직장인,주 1-2회,담배,매장 접근성,불편함 없음,해당 없음,유인 매장,사용하지 않음,"행사, 이벤트, 쿠폰 확인","행사 상품 정보 (1+1, 2+1 등)",불편함 없음,1,전혀 없다,1,필요 없는 상품이라서,주류,1,1,위치 접근성,1,"5,000원 미만",2,1
여자,30대,직장인,월 1-2회,다양한 상품 구매,특별히 없음,불편함 없음,해당 없음,상관없음,사용하지 않음,멤버십 적립 및 결제,"행사 상품 정보 (1+1, 2+1 등)",불편함 없음,4,가끔 있다(1-3회),3,필요 없는 상품이라서,음료,3,3,위치 접근성,4,"5,000~10,000원 미만",2,3
여자,30대,직장인,월 1-2회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성",불편함 없음,해당 없음,상관없음,사용중,"멤버십 적립 및 결제, 1+1상품저장",상품저장,UI/디자인이 직관적이지 않음,3,가끔 있다(1-3회),3,"필요 없는 상품이라서, 유효기간이 짧아서",음료,1,2,위치 접근성,3,"5,000~10,000원 미만",2,3
여자,30대,직장인,주 1-2회,다양한 상품 구매,"할인, 번들 등 프로모션 혜택, 상품 다양성 (PB, 브랜드, 콜라보 상품 등), 매장 접근성","점포별 할인, 결제, 앱 서비스 이용 조건이 달라 혼란스러움",원하는 상품이 없어서,유인 매장,사용하지 않음,"상품 검색, 재고 조회, 예약 구매 등",특정 상품 재고 조회,재고 정보 등 앱 정보의 정확도가 낮음,3,가끔 있다(1-3회),3,"할인 혜택이 불충분해서, 쿠폰의 존재를 잊어서",과자/간식,2,3,상품 다양성,4,"10,000~30,000원 미만",4,4
여자,30대,자영업자,월 1-2회,다양한 상품 구매,매장 접근성,불편함 없음,해당 없음,유인 매장,사용하지 않음,,,,,,,,주류,5,5,위치 접근성,5,"5,000~10,000원 미만",5,5
